,latitude,longitude,Ones
5074,-7.14429,-35.2357,1
5079,-6.75161,-35.6636,4
5080,-7.0582899999999995,-36.3668,2
5090,-6.77067,-36.2538,1
5092,-6.75148,-38.2311,17
5101,-7.66206,-36.884,1
5121,-6.48759,-35.6367,2
5155,-7.206289999999999,-36.8245,2
5187,-7.62697,-37.8712,2
5189,-7.2210399999999995,-37.2525,2
5201,-6.93855,-36.6273,1
5301,-6.5713,-38.5986,2
5365,-6.51504,-38.4128,4
5372,-7.69199,-35.6582,1
5446,-6.761889999999999,-36.9913,1
5501,-6.50684,-38.2567,2
5531,-6.7303,-37.5704,1
5566,-8.07901,-37.1057,1
